gap_type,count_index_from,count_index_to,p_from,p_to,anchor_delta,missing_indices,host,gap_d1,gap_d2,verify_ok
anchor_enumeration,381,382,2790251,2805161,14910,,,,,True
anchor_enumeration,382,383,2805161,2822711,17550,,,,,True
anchor_enumeration,383,384,2822711,2839931,17220,,,,,True
anchor_enumeration,384,385,2839931,2840261,330,,,,,True
anchor_enumeration,385,386,2840261,2846861,6600,,,,,True
anchor_enumeration,386,387,2846861,2849681,2820,,,,,True
anchor_enumeration,387,388,2849681,2875331,25650,,,,,True
anchor_enumeration,388,389,2875331,2879291,3960,,,,,True
anchor_enumeration,389,390,2879291,2893481,14190,,,,,True
anchor_enumeration,390,391,2893481,2918561,25080,,,,,True
anchor_enumeration,391,392,2918561,2927591,9030,,,,,True
anchor_enumeration,392,393,2927591,2927801,210,,,,,True
anchor_enumeration,393,394,2927801,2952791,24990,,,,,True
anchor_enumeration,394,395,2952791,2954681,1890,,,,,True
anchor_enumeration,395,396,2954681,2989031,34350,,,,,True
anchor_enumeration,396,397,2989031,2990831,1800,,,,,True
anchor_enumeration,397,398,2990831,3047411,56580,,,,,True
anchor_enumeration,398,399,3047411,3058871,11460,,,,,True
anchor_enumeration,399,400,3058871,3062201,3330,,,,,True
anchor_enumeration,400,401,3062201,3063491,1290,,,,,True
anchor_enumeration,401,402,3063491,3066821,3330,,,,,True
anchor_enumeration,402,403,3066821,3076391,9570,,,,,True
anchor_enumeration,403,404,3076391,3089321,12930,,,,,True
anchor_enumeration,404,405,3089321,3092561,3240,,,,,True
anchor_enumeration,405,406,3092561,3101471,8910,,,,,True
anchor_enumeration,406,407,3101471,3103271,1800,,,,,True
anchor_enumeration,407,408,3103271,3129611,26340,,,,,True
anchor_enumeration,408,409,3129611,3153581,23970,,,,,True
anchor_enumeration,409,410,3153581,3157571,3990,,,,,True
anchor_enumeration,410,411,3157571,3171731,14160,,,,,True
anchor_enumeration,411,412,3171731,3187601,15870,,,,,True
anchor_enumeration,412,413,3187601,3200201,12600,,,,,True
anchor_enumeration,413,414,3200201,3207431,7230,,,,,True
anchor_enumeration,414,415,3207431,3208811,1380,,,,,True
anchor_enumeration,415,416,3208811,3215741,6930,,,,,True
anchor_enumeration,416,417,3215741,3224861,9120,,,,,True
anchor_enumeration,417,418,3224861,3243341,18480,,,,,True
anchor_enumeration,418,419,3243341,3277691,34350,,,,,True
anchor_enumeration,419,420,3277691,3295541,17850,,,,,True
anchor_enumeration,420,421,3295541,3308951,13410,,,,,True
anchor_enumeration,421,422,3308951,3326621,17670,,,,,True
anchor_enumeration,422,423,3326621,3328901,2280,,,,,True
anchor_enumeration,423,424,3328901,3340871,11970,,,,,True
anchor_enumeration,424,425,3340871,3366821,25950,,,,,True
anchor_enumeration,425,426,3366821,3371441,4620,,,,,True
anchor_enumeration,426,427,3371441,3374471,3030,,,,,True
anchor_enumeration,427,428,3374471,3378041,3570,,,,,True
anchor_enumeration,428,429,3378041,3400211,22170,,,,,True
anchor_enumeration,429,430,3400211,3416051,15840,,,,,True
anchor_enumeration,430,431,3416051,3436241,20190,,,,,True
anchor_enumeration,431,432,3436241,3437711,1470,,,,,True
anchor_enumeration,432,433,3437711,3467531,29820,,,,,True
anchor_enumeration,433,434,3467531,3479891,12360,,,,,True
anchor_enumeration,434,435,3479891,3512051,32160,,,,,True
anchor_enumeration,435,436,3512051,3512231,180,,,,,True
anchor_enumeration,436,437,3512231,3512981,750,,,,,True
anchor_enumeration,437,438,3512981,3513071,90,,,,,True
anchor_enumeration,438,439,3513071,3514541,1470,,,,,True
anchor_enumeration,439,440,3514541,3518321,3780,,,,,True
anchor_enumeration,440,441,3518321,3550691,32370,,,,,True
anchor_enumeration,441,442,3550691,3584921,34230,,,,,True
anchor_enumeration,442,443,3584921,3586901,1980,,,,,True
anchor_enumeration,443,444,3586901,3593501,6600,,,,,True
anchor_enumeration,444,445,3593501,3621461,27960,,,,,True
anchor_enumeration,445,446,3621461,3652931,31470,,,,,True
anchor_enumeration,446,447,3652931,3669761,16830,,,,,True
anchor_enumeration,447,448,3669761,3690521,20760,,,,,True
anchor_enumeration,448,449,3690521,3713441,22920,,,,,True
anchor_enumeration,449,450,3713441,3727721,14280,,,,,True
anchor_enumeration,450,451,3727721,3735161,7440,,,,,True
anchor_enumeration,451,452,3735161,3741161,6000,,,,,True
anchor_enumeration,452,453,3741161,3798071,56910,,,,,True
anchor_enumeration,453,454,3798071,3817811,19740,,,,,True
anchor_enumeration,454,455,3817811,3837131,19320,,,,,True
anchor_enumeration,455,456,3837131,3837851,720,,,,,True
anchor_enumeration,456,457,3837851,3849821,11970,,,,,True
anchor_enumeration,457,458,3849821,3854111,4290,,,,,True
anchor_enumeration,458,459,3854111,3894041,39930,,,,,True
anchor_enumeration,459,460,3894041,3919211,25170,,,,,True
anchor_enumeration,460,461,3919211,3919241,30,,,,,True
anchor_enumeration,461,462,3919241,3951551,32310,,,,,True
anchor_enumeration,462,463,3951551,3974351,22800,,,,,True
anchor_enumeration,463,464,3974351,3974681,330,,,,,True
anchor_enumeration,464,465,3974681,3975701,1020,,,,,True
anchor_enumeration,465,466,3975701,3995441,19740,,,,,True
anchor_enumeration,466,467,3995441,3996521,1080,,,,,True
anchor_enumeration,467,468,3996521,4015931,19410,,,,,True
anchor_enumeration,468,469,4015931,4016561,630,,,,,True
