index,p1,p2,p3,p4,channels,span,gaps,canonical
145,4111,4139,4217,4549,"B,C,A,E",438,"28,78,332",False
146,4159,4211,4229,4561,"B,C,A,E",402,"52,18,332",False
147,4219,4241,4259,4597,"B,A,C,E",378,"22,18,338",False
148,4231,4253,4271,4621,"B,A,C,E",390,"22,18,350",False
149,4243,4283,4289,4657,"B,C,A,E",414,"40,6,368",False
150,4327,4337,4391,4729,"B,A,C,E",402,"10,54,338",False
151,4339,4349,4451,4789,"B,A,C,E",450,"10,102,338",False
152,4363,4373,4463,4801,"B,A,C,E",438,"10,90,338",False
153,4397,4423,4523,4813,"A,B,C,E",416,"26,100,290",False
154,4409,4447,4547,4861,"A,B,C,E",452,"38,100,314",False
155,4421,4483,4583,4909,"A,B,C,E",488,"62,100,326",False
156,4457,4507,4643,4933,"A,B,C,E",476,"50,136,290",False
157,4481,4519,4679,4957,"A,B,C,E",476,"38,160,278",False
158,4493,4567,4691,4969,"A,B,C,E",476,"74,124,278",False
159,4517,4591,4703,4993,"A,B,C,E",476,"74,112,290",False
160,4603,4637,4751,5077,"B,A,C,E",474,"34,114,326",False
161,4639,4649,4787,5101,"B,A,C,E",462,"10,138,314",False
162,4651,4673,4799,5113,"B,A,C,E",462,"22,126,314",False
163,4663,4721,4871,5197,"B,A,C,E",534,"58,150,326",False
164,4723,4733,4919,5209,"B,A,C,E",486,"10,186,290",False
165,4759,4793,4931,5233,"B,A,C,E",474,"34,138,302",False
166,4783,4817,4943,5281,"B,A,C,E",498,"34,126,338",False
167,4831,4877,4967,5413,"B,A,C,E",582,"46,90,446",False
168,4889,4903,5003,5437,"A,B,C,E",548,"14,100,434",False
169,4937,4951,5039,5449,"A,B,C,E",512,"14,88,410",False
170,4973,4987,5051,5521,"A,B,C,E",548,"14,64,470",False
171,4999,5009,5087,5557,"B,A,C,E",558,"10,78,470",False
172,5011,5021,5099,5569,"B,A,C,E",558,"10,78,470",False
173,5023,5081,5147,5581,"B,A,C,E",558,"58,66,434",False
174,5059,5153,5171,5641,"B,A,C,E",582,"94,18,470",False
175,5107,5189,5231,5653,"B,A,C,E",546,"82,42,422",False
176,5119,5237,5279,5689,"B,A,C,E",570,"118,42,410",False
177,5167,5261,5303,5701,"B,A,C,E",534,"94,42,398",False
178,5179,5273,5351,5737,"B,A,C,E",558,"94,78,386",False
179,5227,5297,5387,5749,"B,A,C,E",522,"70,90,362",False
180,5309,5323,5399,5821,"A,B,C,E",512,"14,76,422",False
181,5333,5347,5471,5857,"A,B,C,E",524,"14,124,386",False
182,5381,5407,5483,5869,"A,B,C,E",488,"26,76,386",False
183,5393,5419,5507,5881,"A,B,C,E",488,"26,88,374",False
184,5417,5431,5519,5953,"A,B,C,E",536,"14,88,434",False
185,5441,5443,5531,6037,"A,B,C,E",596,"2,88,506",False
186,5477,5479,5591,6073,"A,B,C,E",596,"2,112,482",False
187,5501,5503,5639,6121,"A,B,C,E",620,"2,136,482",False
188,5527,5573,5651,6133,"B,A,C,E",606,"46,78,482",False
189,5563,5657,5711,6217,"B,A,C,E",654,"94,54,506",False
190,5623,5669,5783,6229,"B,A,C,E",606,"46,114,446",False
191,5647,5693,5807,6277,"B,A,C,E",630,"46,114,470",False
192,5659,5717,5843,6301,"B,A,C,E",642,"58,126,458",False
193,5683,5741,5867,6337,"B,A,C,E",654,"58,126,470",False
194,5743,5801,5879,6361,"B,A,C,E",618,"58,78,482",False
195,5779,5813,5903,6373,"B,A,C,E",594,"34,90,470",False
196,5791,5849,5927,6397,"B,A,C,E",606,"58,78,470",False
197,5827,5861,5939,6421,"B,A,C,E",594,"34,78,482",False
198,5839,5897,5987,6469,"B,A,C,E",630,"58,90,482",False
199,5851,5981,6011,6481,"B,A,C,E",630,"130,30,470",False
200,5923,6029,6047,6529,"B,A,C,E",606,"106,18,482",False
201,6007,6053,6131,6553,"B,A,C,E",546,"46,78,422",False
202,6043,6089,6143,6577,"B,A,C,E",534,"46,54,434",False
203,6067,6101,6203,6637,"B,A,C,E",570,"34,102,434",False
204,6079,6113,6263,6661,"B,A,C,E",582,"34,150,398",False
205,6091,6173,6287,6673,"B,A,C,E",582,"82,114,386",False
206,6151,6197,6299,6709,"B,A,C,E",558,"46,102,410",False
207,6163,6221,6311,6733,"B,A,C,E",570,"58,90,422",False
208,6199,6257,6323,6781,"B,A,C,E",582,"58,66,458",False
209,6211,6269,6359,6793,"B,A,C,E",582,"58,90,434",False
210,6247,6317,6491,6829,"B,A,C,E",582,"70,174,338",False
211,6271,6329,6551,6841,"B,A,C,E",570,"58,222,290",False
212,6343,6353,6563,6949,"B,A,C,E",606,"10,210,386",False
213,6367,6389,6599,6961,"B,A,C,E",594,"22,210,362",False
214,6379,6449,6659,6997,"B,A,C,E",618,"70,210,338",False
215,6427,6473,6719,7057,"B,A,C,E",630,"46,246,338",False
216,6451,6521,6779,7069,"B,A,C,E",618,"70,258,290",False
217,6547,6569,6791,7129,"B,A,C,E",582,"22,222,338",False
218,6571,6581,6803,7177,"B,A,C,E",606,"10,222,374",False
219,6607,6653,6827,7213,"B,A,C,E",606,"46,174,386",False
220,6619,6689,6863,7237,"B,A,C,E",618,"70,174,374",False
221,6679,6701,6899,7297,"B,A,C,E",618,"22,198,398",False
222,6691,6737,6911,7309,"B,A,C,E",618,"46,174,398",False
223,6703,6761,6947,7321,"B,A,C,E",618,"58,186,374",False
224,6763,6833,6959,7333,"B,A,C,E",570,"70,126,374",False
225,6823,6857,6971,7369,"B,A,C,E",546,"34,114,398",False
226,6869,6871,6983,7393,"A,B,C,E",524,"2,112,410",False
227,6883,6917,7019,7417,"B,A,C,E",534,"34,102,398",False
228,6907,6977,7043,7477,"B,A,C,E",570,"70,66,434",False
229,6967,7001,7079,7489,"B,A,C,E",522,"34,78,410",False
230,6991,7013,7103,7537,"B,A,C,E",546,"22,90,434",False
231,7027,7109,7127,7549,"B,A,C,E",522,"82,18,422",False
232,7039,7121,7151,7561,"B,A,C,E",522,"82,30,410",False
233,7159,7187,7193,7573,"B,C,A,E",414,"28,6,380",False
234,7207,7211,7229,7621,"B,C,A,E",414,"4,18,392",False
235,7219,7247,7253,7669,"B,C,A,E",450,"28,6,416",False
236,7243,7283,7349,7681,"B,C,A,E",438,"40,66,332",False
237,7307,7351,7433,7717,"C,B,A,E",410,"44,82,284",False
238,7331,7411,7457,7741,"C,B,A,E",410,"80,46,284",False
239,7451,7459,7481,7753,"C,B,A,E",302,"8,22,272",False
240,7487,7507,7517,7789,"C,B,A,E",302,"20,10,272",False
241,7499,7529,7591,7873,"C,A,B,E",374,"30,62,282",False
242,7523,7541,7603,7933,"C,A,B,E",410,"18,62,330",False
243,7547,7577,7639,7993,"C,A,B,E",446,"30,62,354",False
244,7559,7589,7687,8017,"C,A,B,E",458,"30,98,330",False
245,7583,7649,7699,8053,"C,A,B,E",470,"66,50,354",False
246,7607,7673,7723,8089,"C,A,B,E",482,"66,50,366",False
247,7643,7757,7759,8101,"C,A,B,E",458,"114,2,342",False
248,7691,7793,7867,8161,"C,A,B,E",470,"102,74,294",False
249,7703,7817,7879,8209,"C,A,B,E",506,"114,62,330",False
250,7727,7829,7927,8221,"C,A,B,E",494,"102,98,294",False
251,7823,7841,7951,8233,"C,A,B,E",410,"18,110,282",False
252,7853,7883,7963,8269,"A,C,B,E",416,"30,80,306",False
253,7877,7907,8011,8293,"A,C,B,E",416,"30,104,282",False
254,7901,7919,8059,8317,"A,C,B,E",416,"18,140,258",False
255,7937,8039,8167,8329,"A,C,B,E",392,"102,128,162",False
256,7949,8087,8179,8353,"A,C,B,E",404,"138,92,174",False
257,8009,8111,8191,8377,"A,C,B,E",368,"102,80,186",False
258,8069,8123,8263,8389,"A,C,B,E",320,"54,140,126",False
259,8081,8147,8287,8461,"A,C,B,E",380,"66,140,174",False
260,8093,8171,8311,8521,"A,C,B,E",428,"78,140,210",False
261,8117,8219,8419,8581,"A,C,B,E",464,"102,200,162",False
262,8231,8237,8431,8629,"C,A,B,E",398,"6,194,198",False
263,8243,8273,8443,8641,"C,A,B,E",398,"30,170,198",False
264,8291,8297,8467,8677,"C,A,B,E",386,"6,170,210",False
265,8363,8369,8527,8689,"C,A,B,E",326,"6,158,162",False
266,8387,8429,8539,8713,"C,A,B,E",326,"42,110,174",False
267,8423,8501,8563,8737,"C,A,B,E",314,"78,62,174",False
268,8447,8513,8599,8761,"C,A,B,E",314,"66,86,162",False
269,8537,8543,8623,8821,"A,C,B,E",284,"6,80,198",False
270,8573,8627,8647,8893,"A,C,B,E",320,"54,20,246",False
271,8597,8663,8707,8929,"A,C,B,E",332,"66,44,222",False
272,8609,8699,8719,8941,"A,C,B,E",332,"90,20,222",False
273,8669,8731,8747,9001,"A,B,C,E",332,"62,16,254",False
274,8681,8779,8783,9013,"A,B,C,E",332,"98,4,230",False
275,8693,8803,8807,9049,"A,B,C,E",356,"110,4,242",False
276,8741,8819,8839,9109,"A,C,B,E",368,"78,20,270",False
277,8753,8831,8863,9133,"A,C,B,E",380,"78,32,270",False
278,8837,8867,8887,9157,"A,C,B,E",320,"30,20,270",False
279,8849,8923,8951,9181,"A,B,C,E",332,"74,28,230",False
280,8861,8963,8971,9241,"A,C,B,E",380,"102,8,270",False
281,8933,8999,9007,9277,"A,C,B,E",344,"66,8,270",False
282,8969,9011,9043,9337,"A,C,B,E",368,"42,32,294",False
283,9029,9059,9067,9349,"A,C,B,E",320,"30,8,282",False
284,9041,9091,9203,9397,"A,B,C,E",356,"50,112,194",False
285,9103,9137,9227,9421,"B,A,C,E",318,"34,90,194",False
